Clause ,Title,"Clause
 Date",Acceptance Status*,Acceptance Criteria and Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,
252.219-7011,Notification to Delay Performance,Jun 1998,REMOVE,Applicable to direct contracts with SBAs issued under a Partnership Agreement with SBA and DOD.,,Not required in clause or prescription,"03/19/23 CDC
10/17/16 CDC",no,No,219.811-3(3),
252.219-7012,"Competition for Religious-Related
Services",Apr 2018,REMOVE,"Use the provision 252.219–7012,
Competition for Religious-Related
Services, in solicitations, including
solicitations using FAR part 12
procedures for the acquisition of
commercial items, for the acquisition of religious-related services to be performed on U.S. military installations, when the acquisition is set aside for any
of the small business concerns
identified in FAR 19.000(a)(3).","This is a solicitation provision that should not be included in a resulting contract.  In addition, Virginia Tech will not be executing religious-related services to be performed on U.S. military installation.",N/A (solicitation provision).,"03/19/23 CDC
04/13/18 CDC",,No,219.270–3,
252.222-7000,Restrictions on Employment of Personnel.,Mar 2000,C,"Only applies to construction and service contracts to be performed in whole or in part within a noncontiguous State; and the unemployment rate in the noncontiguous State is in excess of the national average rate of unemployment as determined by the Secretary of Labor.  

""Noncontiguous State,"" as used in this subpart, means Alaska, Hawaii, Puerto Rico, the Northern Mariana Islands, American Samoa, Guam, the U.S. Virgin Islands, Baker Island, Howland Island, Jarvis Island, Johnston Atoll, Kingman Reef, Midway Islands, Navassa Island, Palmyra Atoll, and Wake Island.","This will most likely not apply to Virginia Tech, since the university provides research efforts, not construction/services in noncontiguous states.  ","Yes, see paragraph (b)","03/19/23 CDC
10/25/13 CDC",no,No,222.7004,
252.222-7001,RESERVED,,,,,,,,,,
252.222-7002,Compliance with Local Labor Laws (Overseas).,Jun 1997,REMOVE,"Only applies to solicitations and contracts for services or construction to be performed outside the United States and its outlying areas.

Notify OESRC","Negotiation Position #1 - Indemnification.
This clause includes indemnification at Paragraph (b).  As a state agency of the Commonwealth of Virginia, Virginia Tech is unable to agree to indemnity terms.  Therefore, it is respectfully requested for this clause to be removed. Thank you.

Negotiation Position #2 - Performance in the United States.
This clause is prescribed at DFARS 222.7021(a) to be used within contracts that are  for services or construction to be performed outside the United States and its outlying areas.  Virginia Tech will be performing the research required by this contract within the United States.  Therefore, it is understood that these requirements do not apply.  It is respectfully requested for this clause to be removed for clarity.  Thank you. 
",Not required in clause or prescription,"03/19/23 CDC
03/28/21 CDC
10/25/13 CDC",no,Yes,222.7201(a),
252.222-7003,Permit from Italian Inspectorate of Labor.,Jun 1997,REMOVE,"Solicitations and contracts for porter, janitorial, or ordinary facility and equipment maintenance services to be performed in Italy.

Notify OESRC","Negotiation Position #1:

This clause is prescribed at DFARS 222.7021(b) as being applicable to porter, janitorial, or ordinary facility and equipment maintenance services to be performed in Italy.  Virginia Tech is executing research efforts.  Therefore, it is understood that the requirements of this clause do not apply.  It is respectfully requested for this clause to be removed for clarity.  Thank you. ",Not required in clause or prescription,"03/19/23 CDC
03/28/21 CDC
10/25/13 CDC",no,Yes,222.7201(b),
252.222-7004,Compliance with Spanish Social Security Laws and Regulations,Jun 1997,REMOVE,"Contracts for services or construction to be performed in Spain.

Notify OESRC","Negotiation Position #1:

This clause is prescribed at DFARS 222.7021(c) as being applicable to services and construction performed in Spain.  Virginia Tech is executing research efforts. Therefore, it is understood that the requirements of this clause do not apply.  It is respectfully requested for this clause to be removed for clarity.  Thank you. ",Not required in clause or prescription,"03/19/23 CDC
03/28/21 CDC
10/25/13 CDC",no,Yes,222.7201(c),
252.222-7005,Prohibition on Use of Nonimmigrant Aliens--Guam.,Sep 1999,REMOVE,"Contracts for base operations support on Guam.

Notify OESRC","Negotiation Position #1:

This clause is prescribed at DFARS 222.7302 as being applicable to contracts for base operations support within Guam.  Virginia Tech is executing research efforts and will not be providing base operations support in Guam. Therefore, it is understood that the requirements of this clause do not apply.  It is respectfully requested for this clause to be removed for clarity.  Thank you. ",Not required in clause or prescription,"03/19/23 CDC
03/28/21 CDC
10/25/13 CDC",no,Yes,222.7302,
252.222-7006,Restrictions on the Use of Mandatory Arbitration Agreements,Jan 2023,C,"To be included in all solicitations and contracts (including task or delivery orders and bilateral modifications adding new work) valued in excess of $1 million utilizing funds appropriated or otherwise made available by the Defense Appropriations Act for Fiscal Year 2010 (Pub. L. 111-118) or subsequent DoD appropriations acts, except in contracts for the acquisition of commercial products, including commercially available off-the-shelf items, or commercial services.

 

 ",,"Yes, if over $1 million","03/19/23 CDC
01/03/19 CDC
12/06/15 CDC
1/19/2012 LDC",no,No,222.7405,
OLD,Restrictions on the Use of Mandatory Arbitration Agreements,Dec 2010,C," if over $1,000,000",,"Yes, if over $1 million","01/03/19 CDC
12/06/15 CDC
1/19/2012 LDC",no,No,222.7405,
252.223-7001,Hazard Warning Labels,Dec 1991,C,Required in contracts that require submission of hazardous material safety data sheets (MSDS).  ),Not applicable to Virginia Tech. is not delivering any hazardous material under this contract.,Not required in clause or prescription,"03/19/23 CDC
05/27/11 LDC",yes,No,223.303,525.223-7002 - 252.223-7003
252.223-7002,Safety Precautions for Ammunition and Explosives,May 1994,C,"Required for contracts that deal with the acquisition on ammunition and explosives.  This includes development, testing, and research. NOTIFY OESRC, as ITAR would be applicable. ","Negotiation Position #1 - No Explosives or Ammunition.
This clause is prescribed to be used in contracts for the acquisition of ammunition and explosives.  Virginia Tech will be executing research efforts and will not be procuring ammunition or explosives.  Therefore, it is requested for this clause to be removed for clarity.  Thank you. ","Yes, including paragraph (g)","03/19/23 CDC
03/28/21 CDC
10/23/13 CDC",Yes.  Validate whether this clause applies.,Yes,223.370-5,
252.223-7003,Change in Place of Performance--Ammunition and Explosives,Dec 1991,C,"Required for contracts that deal with the acquisition on ammunition and explosives.  This includes development, testing, and research. NOTIFY OESRC, as ITAR would be applicable. ","Negotiation Position #1 - No Explosives or Ammunition.
This clause is prescribed to be used in contracts for the acquisition of ammunition and explosives.  Virginia Tech will be executing research efforts and will not be procuring ammunition or explosives.  Therefore, it is requested for this clause to be removed for clarity.  Thank you. ","Not required in clause or prescription, contact exports/legal","03/19/23 CDC
10/23/13 CDC",yes,Yes,223.370-5,
252.223-7004,Drug Free Workforce,Sep 1988,C,"For contracts:
 - involving access to classified information
 - If KO (Contracting Officer) determines it is necessary in the interest of national security

Not to be used when contract below the Simplified Acquisition Threshold or partial performance outside US or commercial items

NOTIFY OESRC.  Work with John Talerico an a case-by-case basis.    
","Response to Sponsor If Research is Unclassified:  

This clause is prescribed at DFARS 223.570-2(a) to be used in all contracts that involve access to classified information.  Since Virginia Tech will not have access to classified information under this subcontract, we respectfully request removal. 

Response to Sponsor If Research is Below the Simplified Acquisition Threshold (as defined at FAR 2.101):

This clause's prescription at DFARS 223.570-2(b) expressly states that this clause is not to be included in agreements that are at or below the Simplified Acquisition Threshold, as defined within FAR 2.101.  Since this agreement's overall value is at or below the Simplified Acquisition Threshold, Virginia Tech respectfully requests for the removal of this clause.  Thank you. 

Negotiation Position - Already Include FAR 52.223-6, Drug-Free Workplace (May 2001).  

This contract already includes FAR 52.223-6, Drug-Free Workplace (May 2001).  Therefore, it is respectfully requested that we rely on that clause to address this matter and remove DFARS 252.223-7004.  Thank you. 
","Not required in clause or prescription, contact exports/legal","03/19/23 CDC
05/02/21 CDC
03/20/19 CDC
10/20/13 CDC
10/18/10 LDC",yes,Yes,223.570-2,
252.223-7006,Prohibition on Storage and Disposal of Toxic and Hazardous Materials,Sep 2014,C,"Required in all solicitations and contracts which require, may require, or permit contractor performance on a DoD installation.",,"Yes, in all subs required to treat or dispose of non-DoD owned toxic materials","03/19/23 CDC
09/21/14 CDC
05/27/11 LDC",yes,No,223.7103(a),252.223-7007 - 252.225-7000
252.223-7007,"Safeguarding Sensitive Conventional Arms, Ammunition, and Explosives",Sep 1999,C,"Only applies to contracts subject to DoD-5100.76-M, Physical Security of Sensitive Conventional Arms, Ammunition, and Explosives (AA&E).
NOTIFY OESRC - ITAR APPLIES","Negotiation Position #1 - No Arms, Ammunition, or Explosives (AA&E)
This clause is prescribed at DFARS 223-7203 to be used in contracts where Arms, Ammunition, or Explosives (AA&E) will be provided to Virginia Tech as Government Furnished Property or in contracts the principal development, production, manufacture, or purchase of AA&E for DoD use that would be subject to the requirements of DoD 5100.76-M, Physical Security of Sensitive Conventional Arms, Ammunition, and Explosives. Virginia Tech will be executing research efforts that will not involve the aforementioned scenarios.  Therefore, it is requested for this clause to be removed for clarity.  Thank you. ","Not required in clause or prescription, contact exports/legal","03/19/23 CDC
05/31/21 CDC
03/28/21 CDC
10/23/13 CDC",Yes.  Validate whether this clause applies.,Yes,223.7203,
