Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Annual Representations and Certifications,Mar 2020,OK,"This is a solicitation provision that the Contracting Officer must complete.  It will document that solicitation's NAICS code, small business size standard.  Now required to have a CAGE code.  ","As documented within subparagraph (b)(1), if FAR 52.204-7 is included, paragraph (d) automatically applies.  

If FAR 52.204-7 is not included, we are able to check the block is paragraph (b)(2) to document that we have completed the necessary reps and certs in SAM.  Paragraph (d) allows for amended reps and certs to be included, as needed.

The new version of the clause removes references to Executive Order 13673.",Not required in provision or prescription.  ,"04/11/21 CDC
12/30/18 CDC
04/08/18 CDC
11/05/17 CDC
05/29/17 CDC
10/03/16 CDC
04/12/15 CDC
09/01/2014 CDC
12/17/19 CDC",no,No,4.1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Annual Representations and Certifications,Jan 2017,OK,"This is a solicitation provision that the Contracting Officer must complete.  It will document that solicitation's NAICS code, small business size standard.  Now required to have a CAGE code.  ","As documented within subparagraph (b)(1), if FAR 52.204-7 is included, paragraph (d) automatically applies.  

If FAR 52.204-7 is not included, we are able to check the block is paragraph (b)(2) to document that we have completed the necessary reps and certs in SAM.  Paragraph (d) allows for amended reps and certs to be included, as needed.",Not required in provision or prescription.  ,"05/29/17 CDC
10/03/16 CDC
04/12/15 CDC
09/01/2014 CDC",no,No,4.1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Annual Representations and Certifications,May 2014,OK,"This is a solicitation provision that the Contracting Officer must complete.  It will document that solicitation's NAICS code, small business size standard, ","As documented within subparagraph (b)(1), if FAR 52.204-7 is included, paragraph (d) automatically applies.  

If FAR 52.204-7 is not included, we are able to check the block is paragraph (b)(2) to document that we have completed the necessary reps and certs in SAM.  Paragraph (d) allows for amended reps and certs to be included, as needed.",Not required in provision or prescription.  ,08/10/14 CDC,no,No,4.1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Annual Representations and Certifications,Oct 2010,OK,,"Paragraph (d) applies automatically if 52.204-7 is in the contract.  If 52.204-7 is not in the contract, mark that paragraph (d) applies",Not required in clause or prescription,12/16/10 LDC,no,No,4.1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-9,Personal Identity Verification of Contractor Personnel,Jan 2011,C,"Use in solicitations and contracts when contract performance requires routine physical access to a Federally-controlled facility and/or routine access to a Federally-controlled information system. 

Do not use when require only intermittent access to Federally-controlled facilities","FAR 52.204-9 is prescribed to be used in contracts when contract performance requires routine physical access to a Federally-controlled facility and/or routine access to a Federally-controlled information system.  It is understood that Virginia Tech will not require routine access.  Therefore, we respectfully request this clause's removal for clarity.  Thank you.",Yes - only if  subcontractor employees are required to have routine physical access to a Federally-controlled facility and/or routine access to a Federally-controlled information system.,"02/18/23 CDC
12/30/18 CDC
10/15/2013 CDC",yes,No,4.1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,"Personal Identity Verification of Contractor Personnel
Archived January 24, 2011",Sept 2007,C,If contract performance requires routine access to government property or includes routine access to federally controlled information system,"Per prescription, this clause ""should not be used when contractors require only intermittent access to Federally-controlled facilities"".","Yes, if subcontractor is required to have routine physical access to federally controlled facility or info system",11/30/09 LDC,yes,No,4.1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-10,Reporting Executive Compensation and First-Tier Subcontract Awards,Jun 2020,C,"All contracts over the threshold set forth at FAR 4.1403(a).  Currently $30,000.",,No,"02/18/23 CDC
05/27/20 CDC
12/30/18 CDC
05/27/17 CDC
10/25/15 CDC
04/12/15 CDC
10/19/2013 CDC",no,No,4.1403(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Reporting Executive Compensation and First-Tier Subcontract Awards,Oct 2018,C,"All contracts over $30,000 subject to reporting under the Federal Procurement Data System.  Classified contracts are exempt.  [See FAR 4.606c for actions that are not reported under FPDS.  FAR 4.606c(5) and (6) include the classified data exemption].","Threshold updated by Final Rule, Federal Acquisition Regulation; Inflation Adjustment of Acquisition-Related Thresholds.  July 2, 2015.",No,"12/30/18 CDC
05/27/17 CDC
10/25/15 CDC
04/12/15 CDC
10/19/2013 CDC",no,No,4.1403(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Reporting Executive Compensation and First-Tier Subcontract Awards,July 2013,C,"All contracts over $25,000 subject to reporting under the Federal Procurement Data System.  Classified contracts are exempt.  [See FAR 4.606c for actions that are not reported under FPDS.  FAR 4.606c(5) and (6) include the classified data exemption].",,No,"04/12/15 CDC
10/19/2013 CDC",no,No,4.1403(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,"Archived April 1, 2013",Aug 2012,C,"In all contracts over $25,000 except classified",,No,08/18/11 LDC,no,No,4.1403(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Archived July 2 2010,Sept 2007,C,"If over $500,000,000 when not commercial or classified",,Not required in clause or prescription,11/30/09 LDC,yes,No,4.1403(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Reserved,Effective 5/30/14,,"In accordance with the Final Rule issued within the Federal Register with an effective date of May 30, 2014, the reporting requirements for the American Recovery and Reinvestment Act (ARRA) have been removed.  Therefore, FAR 52.204-11, American Recovery and Reinvestment Act - Reporting Requirements (Jul 2010) is no longer an active clause.  It is suggested that this clause be removed from any solicitations/contracts issued after the date referenced above.  

Link to Final Rule:  https://www.federalregister.gov/articles/2014/05/30/2014-12393/federal-acquisition-regulation-repeal-of-the-recovery-act-reporting-requirements#h-1
","For all solicitations released after May 30, 2014, the requirements of FAR 52.204-11, American Recovery and Reinvestment Act - Reporting Requirements, no longer apply.  Suggest requesting removal. ",N/A,"04/12/15 CDC
08/29/14 CDC",no,No,The retired clause's prescription at Subpart 4.15 has also been removed and reserved.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,American Recovery and Reinvestment Act - Reporting Requirements,Jul 2010,C,If funding is partially or wholly funded with ARRA funds and work is not classified,,Yes.  See paragraph (9) and (10) for details,11/30/09 LDC,yes,No,4.1502,52.207-1 - 52.207-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-12,Unique Entity Identifier Maintenance,Oct 2016,C,Include if FAR 52.204-7 is not included/FAR 52.204-6 is included.,,No,"02/18/23 CDC
12/30/18 CDC
04/08/18 CDC
04/12/15 CDC
10/23/13 CDC",no,No,4.607(c) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-13,System for Award Management Maintenance,Oct 2018,C,Include if FAR 52.204-7 is included.,,No,"02/18/23 CDC
12/30/18 CDC
04/08/18 CDC
05/27/17 CDC
04/12/15 CDC
10/23/13 CDC",no,No,4.1105(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-14,Service Contract Reporting Requirements,Oct 2016,C,"Not applicable for contracts fully funded by DoD.

Conducting additional research to determine applicability.  I would argue that we provide research efforts rather than services and that these two clauses would not apply. ",,Yes - First Tier,"02/18/23 CDC
12/30/18 CDC
04/08/18 CDC
04/12/15 CDC
03/19/14 CDC",,No,4.1705(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-15,Service Contract Reporting Requirements for Indefinite-Delivery Contracts ,Oct 2016,C,"Not applicable for contracts fully funded by DoD.

Conducting additional research to determine applicability.  I would argue that we provide research efforts rather than services and that these two clauses would not apply. ",,Yes - First Tier,"02/18/23 CDC
12/30/18 CDC
04/08/18 CDC
04/12/15 CDC
03/19/14 CDC",,No,4.1705(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-16,Commercial and Government Entity Code Reporting,Aug 2020,OK,"Insert the provision at 52.204–16,
Commercial and Government Entity
Code Reporting, in all solicitations that
include—
(1) 52.204–6, Data Universal
Numbering System Number; or
(2) 52.204–7, System for Award
Management.

Our contracts will include 52.204-7.  Therefore, this solicitation provision should be included in solicitations.",,,"02/18/23 CDC
07/03/20 CDC
12/30/18 CDC
04/08/18 CDC
04/12/15 CDC
03/19/14 CDC",,No,4.1804(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Commercial and Government Entity Code Reporting,Jul 2016,OK,"Insert the provision at 52.204–16,
Commercial and Government Entity
Code Reporting, in all solicitations that
include—
(1) 52.204–6, Data Universal
Numbering System Number; or
(2) 52.204–7, System for Award
Management.

Our contracts will include 52.204-7.  Therefore, this solicitation provision should be included in solicitations.",,,"12/30/18 CDC
04/08/18 CDC
04/12/15 CDC
03/19/14 CDC",,No,4.1804(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-17,Ownership or Control of Offeror,Aug 2020,OK,Solicitation provision is required in all solicitations that contain 52.204-16.,,,"02/18/23 CDC
12/30/18 CDC
04/08/18 CDC
04/12/15 CDC
03/19/14 CDC",,No,4.1804(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Ownership or Control of Offeror,Jul 2016,OK,Solicitation provision is required in all solicitations that contain 52.204-16.,,,"12/30/18 CDC
04/08/18 CDC
04/12/15 CDC
03/19/14 CDC",,No,4.1804(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-18,Commercial and Government Entity Code Maintenance,Aug 2020,OK,Contract clause is required in all solicitations that contain 52.204-16.Requires for all subcontractors to maintain CAGE Code throughout the life of the contract.,,,"02/18/23 CDC
07/03/20 CDC
12/30/18 CDC
04/08/18 CDC
04/12/15 CDC
03/19/14 CDC",,No,4.1804(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Commercial and Government Entity Code Maintenance,Jul 2016,OK,Contract clause is required in all solicitations that contain 52.204-16.,,,"12/30/18 CDC
04/08/18 CDC
04/12/15 CDC
03/19/14 CDC",,No,4.1804(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-19,Incorporation by Reference of Representations and Certifications. ,Dec 2014,OK,"Incorporates our representations and certifications, including those completed electronically via the System for Award Management (SAM), by reference into the contract. This is a required clause.   ",,,"02/18/23 CDC
04/12/15 CDC
01/29/15 CDC",,No,4.1202(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-20,Predecessor of Offeror,Aug 2020,REMOVE,"This is a solicitation provision (not a contract clause).  Therefore, it should not be included in any resulting award.  Suggest removal.",,,"02/18/23 CDC
07/03/20 CDC
04/08/18 CDC
04/12/15 CDC
9/1/2014 CDC",,No,4.1804(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Predecessor of Offeror,July 2016,REMOVE,"This is a solicitation provision (not a contract clause).  Therefore, it should not be included in any resulting award.  Suggest removal.",,,"04/08/18 CDC
04/12/15 CDC
9/1/2014 CDC",,No,4.1804(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-21,Basic Safeguarding of Covered Contractor Information Systems,Nov 2021,OK,"This is used in solicitations and contracts when the contractor or a subcontractor at any tier may have Federal contract information residing in or transiting through its information system.

OESRC Comments:  This clause is acceptable in most contracts.  For fundamental research, the clause is non-applicable and self-deleting.  For restricted research, OESRC will coordinate with the Department for compliance protocols.  If contract also includes DFAR 252.204-7012 and it is applicable, 52.204-21 is inherently covered by the 7012 requirements.

This version of the clause reflects updates per Section 836 of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 (Pub. L. 115-232).",,Yes,"02/18/23 CDC
12/29/21 CDC
03/28/21 CDC
12/30/18 CDC
11/05/17 CDC",Yes,Yes,4.1903 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Basic Safeguarding of Covered Contractor Information Systems,Jun 2016,OK,"This is used in solicitations and contracts when the contractor or a subcontractor at any tier may have Federal contract information residing in or transiting through its information system.

OESRC Comments:  This clause is acceptable in most contracts.  For fundamental research, the clause is non-applicable and self-deleting.  For restricted research, OESRC will coordinate with the Department for compliance protocols.  If contract also includes DFAR 252.204-7012 and it is applicable, 52.204-21 is inherently covered by the 7012 requirements.",,Yes,"03/28/21 CDC
12/30/18 CDC
11/05/17 CDC",Yes,Yes,4.1903 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-22,Alternative Line Item Proposal,Jan 2017,OK,"This is a solicitation provision (not a contract clause).  Therefore, it should not be included in any resulting award.  Suggest removal.",,,"12/30/18 CDC
04/08/18 CDC",,No,4.1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-23,"Prohibition on Contracting for Hardware, Software, and Services Developed or Provided by Kaspersky Lab and Other Covered Entities.",Nov 2021,OK,"The contracting officer is required to insert the clause at 52.204-23, Prohibition on Contracting for Hardware, Software, and Services Developed or Provided by Kaspersky Lab and Other Covered Entities, in all solicitations and contracts. 

OESRC Comments:  This clause is acceptable due to vendor and purchasing screening procedures in place to prohibit items and services provided by covered entities.  Covered entities are included within visual compliance restricted party screening lists.

This version of the clause reflects updates per Section 836 of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 (Pub. L. 115-232).",,Yes,"02/18/23 CDC
12/29/21 CDC
03/28/21 CDC
12/30/18 CDC
8/20/18 CDC",Y,Yes,4.2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,"Prohibition on Contracting for Hardware, Software, and Services Developed or Provided by Kaspersky Lab and Other Covered Entities.",Jul 2018,OK,"The contracting officer is required to insert the clause at 52.204-23, Prohibition on Contracting for Hardware, Software, and Services Developed or Provided by Kaspersky Lab and Other Covered Entities, in all solicitations and contracts. 

OESRC Comments:  This clause is acceptable due to vendor and purchasing screening procedures in place to prohibit items and services provided by covered entities.  Covered entities are included within visual compliance restricted party screening lists.",,Yes,"03/28/21 CDC
12/30/18 CDC
8/20/18 CDC",Y,Yes,4.2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-24,Representation Regarding Certain Telecommunications and Video Surveillance Services or Equipment,Nov 2021,OK,"This is a solicitation provision (not a contract clause).  Therefore, it should not be included in any resulting contract award.  

OSP Comments:  If the PI has completed the Notice & Agreement form, we are in compliance. Thank you so much. This clause can remain in the contract.  

OSP Comments for RFP Reviews:  If you are assisting with an RFP review, have the PI complete the Notice & Agreement form.  Then we can complete this Reps and Certs question.  

This version of the clause reflects updates per Section 836 of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 (Pub. L. 115-232).",No request to Sponsor is required.  The PI needs to complete the Notice & Agreement form. ,,"12/29/21 CDC
03/28/21 CDC
11/15/20 CDC",Y,Yes,4.2105(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Representation Regarding Certain Telecommunications and Video Surveillance Services or Equipment,Oct 2020,OK,"This is a solicitation provision (not a contract clause).  Therefore, it should not be included in any resulting contract award.  

OSP Comments:  If the PI has completed the Notice & Agreement form, we are in compliance. Thank you so much. This clause can remain in the contract.  

OSP Comments for RFP Reviews:  If you are assisting with an RFP review, have the PI complete the Notice & Agreement form.  Then we can complete this Reps and Certs question.  ",No request to Sponsor is required.  The PI needs to complete the Notice & Agreement form. ,,"02/18/23 CDC
03/28/21 CDC
11/15/20 CDC",Y,Yes,4.2105(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Representation Regarding Certain Telecommunications and Video Surveillance Services or Equipment,Aug 2020,,"This is a solicitation provision (not a contract clause).  Therefore, it should not be included in any resulting award.  Suggest removal.",,,11/15/20 CDC,Y,Yes,4.2105(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Representation Regarding Certain Telecommunications and Video Surveillance Services or Equipment,Dec 2019,,"This is a solicitation provision (not a contract clause).  Therefore, it should not be included in any resulting award.  Suggest removal.",,,08/13/19 CDC,Y,Yes,4.2105(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
